Nome do Programa;Código do Programa;Nome da IES;Sigla da IES;UF;ME;DO;MP;DP
BIODIVERSIDADE E CONSERVAÇÃO;52010015104P2;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO;IFGoiano;GO;3;-;-;-
Biodiversidade e Meio Ambiente;51005018011P1;UNIVERSIDADE FEDERAL DA GRANDE DOURADOS;UFGD;MS;3;-;-;-
BIOENERGIA E GRÃOS;52010015106P5;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO;IFGoiano;GO;-;-;3;-
BIOÉTICA;53001010076P0;UNIVERSIDADE DE BRASÍLIA;UNB;DF;5;5;-;-
BIOLOGIA ANIMAL;53001010045P7;UNIVERSIDADE DE BRASÍLIA;UNB;DF;4;4;-;-
Biologia Animal;51001012029P2;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;3;-;-;-
BIOLOGIA DA RELAÇÃO PARASITO-HOSPEDEIRO;52001016053P3;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;4;4;-;-
Biologia Microbiana;53001010094P8;UNIVERSIDADE DE BRASÍLIA;UNB;DF;4;4;-;-
BIOLOGIA VEGETAL;50001019176P2;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;MT;A;-;-;-
BIOLOGIA VEGETAL;51001012018P0;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;3;-;-;-
BIOTECNOLOGIA;51002019005P2;UNIVERSIDADE CATÓLICA DOM BOSCO;UCDB;MS;4;4;-;-
BIOTECNOLOGIA;51001012177P1;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;A;A;-;-
Biotecnologia e Biodiversidade - Rede Pró-Centro-Oeste;53001010100P8;UNIVERSIDADE DE BRASÍLIA;UNB;DF;-;4;-;-
BOTÂNICA;53001010112P6;UNIVERSIDADE DE BRASÍLIA;UNB;DF;A;A;-;-
CIÊNCIA  POLÍTICA;53001010026P2;UNIVERSIDADE DE BRASÍLIA;UNB;DF;6;6;-;-
CIÊNCIA ANIMAL;50001019014P2;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;MT;4;4;-;-
CIÊNCIA ANIMAL;52001016014P8;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;5;5;-;-
CIÊNCIA ANIMAL;51001012013P9;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;4;4;-;-
CIÊNCIA DA COMPUTAÇÃO;51001012012P2;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;4;4;-;-
CIÊNCIA DA COMPUTAÇÃO;52001016027P2;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;4;4;-;-
CIÊNCIA DA COMPUTAÇÃO - UFMS - UFG;51001012028P6;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;-;4;-;-
CIÊNCIA DE MATERIAIS;50001019026P0;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;MT;3;-;-;-
CIÊNCIA DOS MATERIAIS;51001012170P7;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;4;4;-;-
Ciência e Tecnologia Ambiental;51005018006P8;UNIVERSIDADE FEDERAL DA GRANDE DOURADOS;UFGD;MS;5;5;-;-
CIÊNCIA E TECNOLOGIA DE ALIMENTOS;52001016029P5;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;4;4;-;-
CIÊNCIA E TECNOLOGIA DE ALIMENTOS;51005018171P9;UNIVERSIDADE FEDERAL DA GRANDE DOURADOS;UFGD;MS;3;-;-;-
Ciência Política;52001016055P6;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;3;-;-;-
Ciências Agrárias - Agronomia;52010015004P8;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO;IFGoiano;GO;5;5;-;-
CIÊNCIAS AMBIENTAIS;50001019032P0;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;MT;3;-;-;-
CIÊNCIAS AMBIENTAIS;52001016022P0;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;6;6;-;-
CIÊNCIAS AMBIENTAIS;50002015001P4;UNIVERSIDADE DO ESTADO DE MATO GROSSO;UNEMAT;MT;4;4;-;-
CIÊNCIAS AMBIENTAIS;53001010108P9;UNIVERSIDADE DE BRASÍLIA;UNB;DF;4;4;-;-
Ciências Ambientais;50008013003P5;UNIVERSIDADE DE CUIABÁ;UNIC;MT;3;-;-;-
CIÊNCIAS AMBIENTAIS E SAÚDE;52002012006P1;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS;PUC-GOIÁS;GO;4;-;-;-
Ciências Ambientais e Sustentabilidade Agropecuária;51002019006P9;UNIVERSIDADE CATÓLICA DOM BOSCO;UCDB;MS;4;4;-;-
CIÊNCIAS ANIMAIS;53001010067P0;UNIVERSIDADE DE BRASÍLIA;UNB;DF;5;5;-;-
CIÊNCIAS APLICADAS À ATENÇÃO HOSPITALAR;51020009001P2;HOSPITAL UNIVERSITÁRIO JÚLIO MÜLLER - EBSERH;HUJM;MT;-;-;3;-
Ciências Aplicadas a Produtos para Saúde;52012018008P6;UNIVERSIDADE ESTADUAL DE GOIÁS;UEG;GO;3;-;-;-
Ciências Aplicadas à Saúde;52001016059P1;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;3;-;-;-
CIÊNCIAS BIOLÓGICAS;52001016005P9;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;5;5;-;-
CIÊNCIAS BIOLÓGICAS ;53001010007P8;UNIVERSIDADE DE BRASÍLIA;UNB;DF;6;6;-;-
CIÊNCIAS CONTÁBEIS;51001012173P6;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;3;-;-;-
CIÊNCIAS CONTÁBEIS;52001016104P7;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;3;-;-;-
CIÊNCIAS CONTÁBEIS ;53001010105P0;UNIVERSIDADE DE BRASÍLIA;UNB;DF;4;4;-;-
CIÊNCIAS DA INFORMAÇÃO;53001010018P0;UNIVERSIDADE DE BRASÍLIA;UNB;DF;5;5;-;-
CIÊNCIAS DA REABILITAÇÃO;53001010107P2;UNIVERSIDADE DE BRASÍLIA;UNB;DF;3;-;-;-
CIÊNCIAS DA RELIGIÃO;52002012002P6;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS;PUC-GOIÁS;GO;5;5;-;-
CIÊNCIAS DA SAUDE;51005018009P7;UNIVERSIDADE FEDERAL DA GRANDE DOURADOS;UFGD;MS;4;4;-;-
CIÊNCIAS DA SAÚDE;53001010047P0;UNIVERSIDADE DE BRASÍLIA;UNB;DF;5;5;-;-
CIÊNCIAS DA SAÚDE;53029011002P7;ESCOLA SUPERIOR DE CIÊNCIAS DA SAÚDE;FEPECS-ESCS;DF;3;-;-;-
CIÊNCIAS DA SAÚDE;52001016034P9;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;4;4;-;-
CIÊNCIAS DA SAÚDE;50001019009P9;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;MT;4;4;-;-
CIÊNCIAS DE MATERIAIS;53001010084P2;UNIVERSIDADE DE BRASÍLIA;UNB;DF;3;-;-;-
CIÊNCIAS DO COMPORTAMENTO;53001010068P7;UNIVERSIDADE DE BRASÍLIA;UNB;DF;4;4;-;-
CIÊNCIAS DO MOVIMENTO;51001012180P2;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;A;-;-;-
Ciências e Tecnologias em Saúde;53001010088P8;UNIVERSIDADE DE BRASÍLIA;UNB;DF;4;4;-;-
CIÊNCIAS EM SAÚDE;50001019102P9;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;MT;3;-;-;-
CIÊNCIAS EXATAS E TECNOLÓGICAS;52001016103P0;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;-;4;-;-
CIÊNCIAS FARMACÊUTICAS;52001016031P0;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;4;4;-;-
CIÊNCIAS FARMACÊUTICAS;52006018003P8;CENTRO UNIVERSITÁRIO DE ANÁPOLIS;UNIEVANGELICA;GO;-;-;A;-
Ciências Farmacêuticas;53001010085P9;UNIVERSIDADE DE BRASÍLIA;UNB;DF;4;4;-;-
CIÊNCIAS FLORESTAIS;53001010046P3;UNIVERSIDADE DE BRASÍLIA;UNB;DF;3;3;-;-
CIÊNCIAS FLORESTAIS E AMBIENTAIS;50001019016P5;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;MT;4;-;-;-
CIÊNCIAS GENÔMICAS E BIOTECNOLOGIA;53003012005P4;UNIVERSIDADE CATÓLICA DE BRASÍLIA;UCB;DF;6;6;-;-
CIÊNCIAS MECÂNICAS;53001010053P0;UNIVERSIDADE DE BRASÍLIA;UNB;DF;4;4;-;-
CIENCIAS MEDICAS;53001010051P7;UNIVERSIDADE DE BRASÍLIA;UNB;DF;5;5;-;-
CIÊNCIAS MOLECULARES;52012018001P1;UNIVERSIDADE ESTADUAL DE GOIÁS;UEG;GO;3;-;-;-
CIÊNCIAS ODONTOLÓGICAS INTEGRADAS;50008013004P1;UNIVERSIDADE DE CUIABÁ;UNIC;MT;-;4;-;-
Ciências Odontológicas Integradas;50008013001P2;UNIVERSIDADE DE CUIABÁ;UNIC;MT;4;-;-;-
Ciências para a Saúde;53022017001P6;FUNDAÇÃO DE ENSINO E PESQUISA EM CIÊNCIAS DA SAÚDE;FEPECS;DF;-;-;3;-
CIÊNCIAS VETERINÁRIAS;50001019017P1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;MT;5;5;-;-
CIÊNCIAS VETERINÁRIAS;51001012040P6;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;4;4;-;-
Computação Aplicada;51001012038P1;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;-;-;3;-
Computação Aplicada;53001010098P3;UNIVERSIDADE DE BRASÍLIA;UNB;DF;-;-;3;-
COMUNICAÇÃO;53001010019P6;UNIVERSIDADE DE BRASÍLIA;UNB;DF;4;4;-;-
COMUNICAÇÃO;50001019175P6;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;MT;A;-;-;-
COMUNICAÇÃO;52001016037P8;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;4;4;-;-
Comunicação;51001012031P7;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;3;-;-;-
CONSERVAÇÃO DE RECURSOS NATURAIS DO CERRADO;52010015105P9;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO;IFGoiano;GO;-;-;3;-
DESENVOLVIMENTO E PLANEJAMENTO TERRITORIAL;52002012007P8;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS;PUC-GOIÁS;GO;3;-;-;-
DESENVOLVIMENTO LOCAL;51002019003P0;UNIVERSIDADE CATÓLICA DOM BOSCO;UCDB;MS;5;5;-;-
DESENVOLVIMENTO REGIONAL;52016013001P7;CENTRO UNIVERSITÁRIO ALVES FARIA;UNIALFA;GO;-;-;3;-
Desenvolvimento Regional e de Sistemas Produtivos;51004011010P9;UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL;UEMS;MS;3;-;-;-
Desenvolvimento, Sociedade e Cooperação Internacional;53001010089P4;UNIVERSIDADE DE BRASÍLIA;UNB;DF;3;3;-;-
DESENVOLVIMENTO SUSTENTÁVEL;53001010044P0;UNIVERSIDADE DE BRASÍLIA;UNB;DF;7;7;-;-
Design;53001010101P4;UNIVERSIDADE DE BRASÍLIA;UNB;DF;3;-;-;-
DIREITO;53001010017P3;UNIVERSIDADE DE BRASÍLIA;UNB;DF;6;6;-;-
DIREITO;52016013003P0;CENTRO UNIVERSITÁRIO ALVES FARIA;UNIALFA;GO;A;-;-;-
DIREITO;51001012101P5;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;3;-;-;-
DIREITO;53003012008P3;UNIVERSIDADE CATÓLICA DE BRASÍLIA;UCB;DF;5;-;-;-
DIREITO;53032012001P8;CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL;UDF;DF;3;-;-;-
DIREITO;53005015001P1;CENTRO UNIVERSITÁRIO DE BRASÍLIA;UNICEUB;DF;5;5;-;-
DIREITO ;50001019025P4;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;MT;3;-;-;-
DIREITO AGRÁRIO;52001016041P5;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;4;4;-;-
Direito Constitucional;53019016001P9;INSTITUTO BRASILIENSE DE DIREITO PÚBLICO;IDP;DF;4;4;-;-
DIREITO DO AGRONEGÓCIO E DESENVOLVIMENTO;52004015002P9;UNIVERSIDADE DE RIO VERDE;UNIRV;GO;-;-;A;-
DIREITO E PODER JUDICIÁRIO;53069005001P2;ESCOLA NACIONAL DE FORMAÇÃO E APERFEIÇOAMENTO DE MAGISTRADOS MINISTRO SÁLVIO DE FIGUEIREDO TEIXEIRA;ENFAM;DF;-;-;A;-
DIREITO E POLÍTICAS PÚBLICAS;52001016107P6;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;-;-;3;-
DIREITO ECONÔMICO E DESENVOLVIMENTO;53019016004P8;INSTITUTO BRASILIENSE DE DIREITO PÚBLICO;IDP;DF;-;-;A;-
DIREITO, REGULAÇÃO E POLÍTICAS PÚBLICAS;53001010111P0;UNIVERSIDADE DE BRASÍLIA;UNB;DF;-;-;A;-
Direitos Humanos;52001016057P9;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;4;4;-;-
DIREITOS HUMANOS, CIDADANIA E VIOLÊNCIA;53017013001P6;CENTRO UNIVERSITÁRIO EURO-AMERICANO;UNIEURO;DF;3;-;-;-
Direitos Humanos e Cidadania;53001010095P4;UNIVERSIDADE DE BRASÍLIA;UNB;DF;4;4;-;-
DIREITOS SOCIAIS E PROCESSOS REIVINDICATÓRIOS;53023013002P9;CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA;IESB;DF;-;-;3;-
DOENÇAS INFECCIOSAS E PARASITÁRIAS;51001012024P0;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;5;5;-;-
ECOLOGIA;53001010008P4;UNIVERSIDADE DE BRASÍLIA;UNB;DF;6;6;-;-
ECOLOGIA E CONSERVAÇÃO;51001012005P6;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;6;6;-;-
ECOLOGIA E CONSERVAÇÃO;50002015002P0;UNIVERSIDADE DO ESTADO DE MATO GROSSO;UNEMAT;MT;4;4;-;-
ECOLOGIA E CONSERVAÇÃO DA BIODIVERSIDADE;50001019003P0;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;MT;5;5;-;-
ECOLOGIA E EVOLUÇÃO;52001016026P6;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;7;7;-;-
ECONOMIA;53001010058P1;UNIVERSIDADE DE BRASÍLIA;UNB;DF;-;-;4;-
ECONOMIA;53003012004P8;UNIVERSIDADE CATÓLICA DE BRASÍLIA;UCB;DF;6;6;-;-
ECONOMIA;52001016101P8;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;3;-;-;-
ECONOMIA;53062000002P4;FUNDAÇÃO GETÚLIO VARGAS, BRASÍLIA;FGV/BSB;DF;-;-;A;A
ECONOMIA;53001010012P1;UNIVERSIDADE DE BRASÍLIA;UNB;DF;6;6;-;-
ECONOMIA;50001019013P6;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;MT;3;-;-;-
ECONOMIA DO SETOR PÚBLICO;53019016003P1;INSTITUTO BRASILIENSE DE DIREITO PÚBLICO;IDP;DF;-;-;A;-
EDUCAÇÃO;51002019002P3;UNIVERSIDADE CATÓLICA DOM BOSCO;UCDB;MS;5;5;-;-
EDUCAÇÃO;51001012001P0;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;5;5;-;-
EDUCAÇÃO;50001019024P8;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;MT;3;-;-;-
EDUCAÇÃO;53001010001P0;UNIVERSIDADE DE BRASÍLIA;UNB;DF;5;5;-;-
EDUCAÇÃO;50001019001P8;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;MT;5;5;-;-
EDUCAÇÃO;51005018005P1;UNIVERSIDADE FEDERAL DA GRANDE DOURADOS;UFGD;MS;5;5;-;-
EDUCAÇÃO;52002012004P9;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS;PUC-GOIÁS;GO;5;5;-;-
EDUCAÇÃO;52012018173P7;UNIVERSIDADE ESTADUAL DE GOIÁS;UEG;GO;A;-;-;-
EDUCAÇÃO;51001012026P3;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;3;-;-;-
EDUCAÇÃO;52005011003P1;INSTITUTO FEDERAL DE EDUCACÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS;IFG;GO;A;-;-;-
EDUCAÇÃO;52001016007P1;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;5;5;-;-
EDUCAÇÃO;53003012001P9;UNIVERSIDADE CATÓLICA DE BRASÍLIA;UCB;DF;4;4;-;-
Educação;51004011006P1;UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL;UEMS;MS;-;-;4;-
Educação;52001016063P9;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;3;-;-;-
Educação;51004011004P9;UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL;UEMS;MS;3;-;-;-
Educação;50002015005P0;UNIVERSIDADE DO ESTADO DE MATO GROSSO;UNEMAT;MT;3;-;-;-
Educação;53001010087P1;UNIVERSIDADE DE BRASÍLIA;UNB;DF;-;-;3;-
EDUCAÇÃO ;52045005001P0;FACULDADE DE INHUMAS;FACMAIS;GO;A;-;-;-
EDUCAÇÃO - CAMPUS CATALÃO;52001016052P7;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;3;-;-;-
EDUCAÇÃO CIENTÍFICA E MATEMÁTICA;51004011070P1;UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL;UEMS;MS;-;-;3;-
EDUCAÇÃO E TERRITORIALIDADE;51005018174P8;UNIVERSIDADE FEDERAL DA GRANDE DOURADOS;UFGD;MS;A;-;-;-
EDUCAÇÃO EM CIÊNCIAS;53001010106P6;UNIVERSIDADE DE BRASÍLIA;UNB;DF;4;4;-;-
EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICA;52001016036P1;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;4;4;-;-
EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICA - UFMT - UFPA - UEA;50001019028P3;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;MT;-;5;-;-
EDUCAÇÃO FÍSICA;53001010066P4;UNIVERSIDADE DE BRASÍLIA;UNB;DF;4;4;-;-
EDUCAÇÃO FÍSICA;53003012007P7;UNIVERSIDADE CATÓLICA DE BRASÍLIA;UCB;DF;4;4;-;-
EDUCAÇÃO FÍSICA;52001016110P7;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;A;-;-;-
Educação Física;50001019035P0;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;MT;3;-;-;-
EDUCAÇÃO, LINGUAGEM E TECNOLOGIAS;52012018004P0;UNIVERSIDADE ESTADUAL DE GOIÁS;UEG;GO;4;-;-;-
EDUCAÇÃO MATEMÁTICA;51001012021P1;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;5;5;-;-
Educação para Ciências e Matemática;52005011002P5;INSTITUTO FEDERAL DE EDUCACÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS;IFG;GO;-;-;4;4
EFICIÊNCIA ENERGÉTICA E SUSTENTABILIDADE;51001012035P2;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;-;-;3;-
ENFERMAGEM;52001016023P7;UNIVERSIDADE FEDERAL DE GOIÁS;UFG;GO;5;5;-;-
ENFERMAGEM;50001019015P9;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;MT;4;4;-;-
ENFERMAGEM;53001010082P0;UNIVERSIDADE DE BRASÍLIA;UNB;DF;4;4;-;-
ENFERMAGEM;51001012176P5;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;A;-;-;-
ENFERMAGEM;51001012036P9;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;UFMS;MS;3;-;-;-
ENGENHARIA AGRÍCOLA;52012018002P8;UNIVERSIDADE ESTADUAL DE GOIÁS;UEG;GO;4;-;-;-
